Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2596,51,3,258,0,510,221,232,148,6279,Rawah,C7745
2590,56,2,212,-6,390,220,235,151,6225,Rawah,C7745
2804,139,9,268,65,3180,234,238,135,6121,Rawah,C4744
2785,155,18,242,118,3090,238,238,122,6211,Rawah,C7746
2595,45,2,153,-1,391,220,234,150,6172,Rawah,C7745
2579,132,6,300,-15,67,230,237,140,6031,Rawah,C7745
2606,45,7,270,5,633,222,225,138,6256,Rawah,C7745
2605,49,4,234,7,573,222,230,144,6228,Rawah,C7745
2617,45,9,240,56,666,223,221,133,6244,Rawah,C7745
2612,59,10,247,11,636,228,219,124,6230,Rawah,C7745
2612,201,4,180,51,735,218,243,161,6222,Rawah,C6731
2886,151,11,371,26,5253,234,240,136,4051,Rawah,C7746
2742,134,22,150,69,3215,248,224,92,6091,Rawah,C7746
2609,214,7,150,46,771,213,247,170,6211,Rawah,C6731
2503,157,4,67,4,674,224,240,151,5600,Rawah,C6731
2495,51,7,42,2,752,224,225,137,5576,Rawah,C6101
2610,259,1,120,-1,607,216,239,161,6096,Rawah,C7745
2517,72,7,85,6,595,228,227,133,5607,Rawah,C6731
2504,0,4,95,5,691,214,232,156,5572,Rawah,C6731
2503,38,5,85,10,741,220,228,144,5555,Rawah,C6731
2501,71,9,60,8,767,230,223,126,5547,Rawah,C6731
2880,209,17,216,30,4986,206,253,179,4323,Rawah,C7746
2768,114,23,192,82,3339,252,209,71,5972,Rawah,C7746
2511,54,8,124,0,638,225,222,130,5569,Rawah,C6731
2507,22,9,120,14,732,215,221,143,5534,Rawah,C6731
2492,135,6,0,0,860,229,237,142,5494,Rawah,C6731
2489,163,10,30,-4,849,230,243,145,5486,Rawah,C6731
2962,148,16,323,23,5916,240,236,120,3395,Rawah,C7745
2811,135,1,212,30,3670,220,238,154,5643,Rawah,C4744
2739,117,24,127,53,3281,253,210,71,6033,Rawah,C7746
2703,122,30,67,27,3191,254,201,52,6123,Rawah,C7746
2522,105,7,120,1,595,233,231,130,5569,Rawah,C6731
2519,102,6,124,4,616,230,233,137,5559,Rawah,C6731
2516,23,6,150,4,658,216,227,147,5541,Rawah,C6731
2515,41,9,162,4,680,221,220,133,5532,Rawah,C6731
2900,45,19,242,20,5199,221,195,100,4115,Rawah,C7745
2709,125,28,67,23,3224,253,207,61,6094,Rawah,C7746
2511,92,7,182,18,722,231,229,131,5494,Rawah,C6731
2749,98,30,124,53,3316,252,183,36,6005,Rawah,C7746
2686,354,12,0,0,3167,200,219,157,6155,Rawah,C7746
2699,347,3,0,0,2096,213,234,159,6853,Rawah,C7102
2570,346,2,0,0,331,215,235,158,5745,Rawah,C7745
2533,71,9,150,-3,577,230,223,126,5552,Rawah,C6731
2703,330,27,30,17,3141,146,197,184,6186,Rawah,C6101
2678,128,5,95,23,1660,229,236,141,6546,Rawah,C4744
2529,68,8,210,-5,666,228,225,130,5484,Rawah,C6731
2524,94,7,212,-4,684,232,229,130,5474,Rawah,C6731
2536,99,6,234,0,659,230,232,136,5475,Rawah,C6731
2498,66,6,95,7,900,227,227,135,5357,Rawah,C6731
2489,100,7,85,13,810,232,231,131,5334,Rawah,C6731
2713,117,30,60,17,3297,254,198,48,6039,Rawah,C7746
2739,323,25,85,43,3118,149,205,192,6219,Rawah,C7745
2696,72,2,30,0,3271,222,234,149,6071,Rawah,C7746
2510,79,14,192,19,891,237,215,106,5325,Rawah,C6731
2502,81,7,175,11,912,230,227,129,5316,Rawah,C6731
2722,315,24,30,19,3216,148,212,200,6132,Rawah,C6101
2500,74,11,190,9,930,233,219,116,5279,Rawah,C6731
2486,68,5,180,-4,870,225,230,139,5262,Rawah,C6731
2489,11,4,175,13,840,216,232,153,5254,Rawah,C6731
2489,42,6,162,13,810,221,227,141,5247,Rawah,C6731
2490,75,5,134,17,810,227,230,137,5218,Rawah,C6731
2952,107,11,42,7,5845,239,226,116,3509,Rawah,C7745
2705,90,8,134,22,2023,232,228,129,6615,Rawah,C4744
2507,40,7,153,10,930,221,224,138,5221,Rawah,C6731
2500,49,14,150,27,870,225,210,116,5205,Rawah,C6731
2493,63,10,127,20,840,229,221,124,5197,Rawah,C6731
2509,59,7,134,10,900,226,226,134,5184,Rawah,C6731
2919,13,13,90,6,5321,207,214,142,4060,Rawah,C7745
2740,54,6,218,42,2287,224,227,138,6686,Rawah,C4744
2640,80,8,180,-2,1092,231,225,127,5866,Rawah,C7745
2843,166,12,242,53,4434,230,244,144,4956,Rawah,C7746
3008,45,14,277,10,6371,223,208,116,3036,Rawah,C7745
2893,114,16,108,30,5066,245,223,102,4340,Rawah,C7745
2850,6,9,0,0,4858,210,223,151,4548,Rawah,C6101
2628,30,10,240,19,960,217,218,136,5645,Rawah,C7745
2864,118,18,201,74,4567,248,221,93,4849,Rawah,C7746
2827,160,28,134,65,3948,235,233,108,5474,Rawah,C7746
2529,326,5,30,14,1062,207,234,166,5047,Rawah,C6101
2808,99,7,382,95,3107,233,230,130,6341,Rawah,C4744
2840,153,26,134,42,4613,241,231,102,4833,Rawah,C7746
2795,79,10,531,96,2980,233,223,121,6497,Rawah,C7102
2746,143,16,67,22,2440,241,235,119,6597,Rawah,C4744
2847,352,26,150,82,3697,166,187,152,5796,Rawah,C7745
2840,14,14,216,88,3552,206,210,140,5944,Rawah,C4744
2537,42,7,210,17,1132,222,224,137,4919,Rawah,C6731
2860,358,17,175,98,3705,191,206,151,5800,Rawah,C7745
2818,332,26,30,17,4526,151,197,181,4978,Rawah,C7745
2801,18,7,560,58,3084,215,226,148,6457,Rawah,C4744
2791,63,10,418,48,2942,229,221,124,6606,Rawah,C4744
2745,306,11,67,24,2416,190,234,184,6428,Rawah,C7745
2514,102,6,272,-5,1082,230,233,137,4811,Rawah,C6731
2788,13,16,30,8,4126,203,206,137,5396,Rawah,C7745
2562,354,12,67,9,1057,200,218,156,5031,Rawah,C7746
3073,173,12,108,-3,6836,227,246,149,2735,Rawah,C7745
2978,71,10,426,85,5742,231,221,121,3792,Rawah,C7745
2860,31,10,295,98,3644,218,218,135,5904,Rawah,C4744
3067,164,11,85,7,6811,230,243,144,2774,Rawah,C7745
2804,72,5,543,61,3115,225,231,141,6471,Rawah,C4744
2562,59,3,0,0,1116,221,233,148,5091,Rawah,C6101
2567,34,9,190,16,1136,219,221,138,4924,Rawah,C6731
